Objects
100
,,Global Angle Headset:Headset,,,,,,Global Angle UWB_anchor:UWB_anchor,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
66,0,0.197267,-0.337645,-1.291593,1285.413086,1623.210938,1798.903442,0.147154,3.116396,-0.320027,1276.799194,2224.635986,1309.257324
67,0,0.195533,-0.337382,-1.290885,1284.896973,1622.918945,1798.736816,0.145756,3.115908,-0.320548,1276.791626,2224.665527,1309.246338
68,0,0.201148,-0.337111,-1.288953,1284.595093,1623.831543,1799.462524,0.133276,3.115652,-0.315236,1276.797485,2224.589111,1309.236328
69,0,0.199877,-0.339673,-1.287170,1284.040771,1623.224121,1798.839233,0.131241,3.117164,-0.314321,1276.837280,2224.590576,1309.253174
70,0,0.202420,-0.338287,-1.288680,1283.902466,1623.735596,1799.326782,0.144860,3.115528,-0.319895,1276.770386,2224.638184,1309.238037
71,0,0.203824,-0.338583,-1.288635,1283.656494,1623.704468,1799.336304,0.124859,3.117682,-0.310354,1276.833130,2224.472656,1309.279175
72,0,0.204183,-0.338755,-1.288833,1283.366821,1623.684326,1799.328491,0.139986,3.115553,-0.317100,1276.772095,2224.557373,1309.240967
73,0,0.204325,-0.338836,-1.288628,1283.084473,1623.690308,1799.297729,0.145468,3.116963,-0.320488,1276.812622,2224.667480,1309.285767
74,0,0.204421,-0.338577,-1.288761,1282.795410,1623.693359,1799.293457,0.139708,3.115487,-0.317880,1276.804810,2224.630859,1309.251343
75,0,0.204660,-0.340557,-1.287047,1282.562866,1623.627075,1799.270874,0.145293,3.117282,-0.320861,1276.845459,2224.657227,1309.291870
76,0,0.204991,-0.340847,-1.286791,1282.314697,1623.593384,1799.293091,0.144300,3.116027,-0.320030,1276.787476,2224.654053,1309.269165
77,0,0.201010,-0.340602,-1.286500,1281.811279,1623.016113,1798.727539,0.131614,3.115809,-0.316748,1276.802002,2224.619141,1309.276001
78,0,0.201440,-0.341975,-1.285544,1281.642456,1622.976685,1798.760742,0.140121,3.115889,-0.318545,1276.781860,2224.650635,1309.254517
79,0,0.201110,-0.340619,-1.286440,1281.396851,1622.981934,1798.758545,-0.038642,-0.003792,0.104111,1265.718628,2217.722656,1258.409424
80,0,0.198230,-0.340244,-1.289297,1281.339355,1622.543457,1798.475220,-0.031618,0.006817,0.124331,1265.611816,2218.394531,1258.339233
81,0,0.198356,-0.340297,-1.289111,1281.157715,1622.507202,1798.472290,-0.026631,0.009713,0.135832,1265.665039,2218.431152,1258.381836
82,0,0.201304,-0.341323,-1.285618,1280.780884,1622.823242,1798.705933,-0.030230,0.007308,0.138293,1265.767212,2218.386230,1258.268433
83,0,0.199862,-0.340390,-1.286044,1280.587646,1622.842163,1798.788330,-0.030582,0.007864,0.135277,1265.731201,2218.396240,1258.294556
84,0,0.201194,-0.340187,-1.286108,1280.440552,1622.840332,1798.871338,-0.028548,0.008244,0.139939,1265.781250,2218.412109,1258.313599
85,0,0.200926,-0.340223,-1.285899,1280.254517,1622.787598,1798.835327,-0.025089,0.009233,0.150199,1265.814697,2218.427979,1258.283203
86,0,0.199660,-0.339946,-1.286010,1280.099487,1622.728760,1798.835693,-0.024746,0.009505,0.148683,1265.804932,2218.442871,1258.298950
87,0,0.199696,-0.339658,-1.286134,1279.963867,1622.668701,1798.868774,-0.028060,0.006791,0.146235,1265.853760,2218.338867,1258.233276
88,0,0.199528,-0.338242,-1.289622,1280.030518,1622.332886,1798.803589,-0.029695,0.009185,0.137202,1265.714844,2218.406738,1258.307739
89,0,0.199693,-0.339201,-1.286205,1279.716187,1622.607544,1798.881958,-0.028186,0.008692,0.142316,1265.760498,2218.422119,1258.307251
90,0,0.198067,-0.337677,-1.289655,1279.771240,1622.232910,1798.735352,-0.028262,0.009124,0.140346,1265.734497,2218.415771,1258.307373
91,0,0.197873,-0.337147,-1.289743,1279.624268,1622.171631,1798.757690,-0.024268,0.008986,0.147369,1265.799683,2218.431396,1258.276123
92,0,0.197713,-0.336896,-1.289703,1279.493042,1622.106689,1798.769287,-0.029351,0.011956,0.142404,1265.723022,2218.377686,1258.350464
93,0,0.197914,-0.337645,-1.289324,1279.456421,1622.032227,1798.746460,-0.031224,0.009424,0.136116,1265.704224,2218.377686,1258.334473
94,0,0.199660,-0.335994,-1.291000,1279.523071,1622.384399,1799.031128,-0.026732,0.006685,0.140611,1265.776855,2218.434570,1258.278564
95,0,0.199627,-0.335695,-1.291220,1279.418457,1622.351318,1799.052246,-0.023872,0.009086,0.149855,1265.810059,2218.469482,1258.273804
96,0,0.200911,-0.334388,-1.291920,1279.216919,1622.356201,1799.141357,-0.027475,0.009443,0.145085,1265.783813,2218.423828,1258.307495
97,0,0.199348,-0.333871,-1.292394,1279.088135,1622.302979,1799.094849,-0.031437,0.008710,0.134709,1265.718384,2218.357178,1258.374512
98,0,0.197950,-0.334841,-1.291009,1278.749878,1621.876587,1798.722412,-0.028582,0.009782,0.142645,1265.754517,2218.386719,1258.317871
99,0,0.197856,-0.334597,-1.291139,1278.601440,1621.888916,1798.701782,-0.026155,0.009159,0.142478,1265.763062,2218.427246,1258.303345
100,0,0.199076,-0.335659,-1.288063,1278.282715,1622.178101,1798.796875,-0.031040,0.011145,0.134269,1265.652588,2218.415771,1258.405640
101,0,0.195656,-0.332670,-1.293026,1278.260864,1621.806274,1798.554688,-0.028971,0.009930,0.132991,1265.676758,2218.427734,1258.353271
102,0,0.195588,-0.332666,-1.293125,1278.073730,1621.805908,1798.543579,-0.026064,0.009455,0.139437,1265.725708,2218.427246,1258.375122
103,0,0.197555,-0.335206,-1.289147,1277.692017,1622.185669,1798.725830,-0.023848,0.010769,0.148172,1265.777954,2218.454346,1258.316528
104,0,0.197339,-0.335435,-1.289167,1277.461670,1622.172974,1798.678101,-0.027516,0.009368,0.139132,1265.729248,2218.416260,1258.333130
105,0,0.195815,-0.335018,-1.292490,1277.459595,1621.879028,1798.412842,-0.022536,0.010909,0.150759,1265.785889,2218.445801,1258.327026
106,0,0.195959,-0.335184,-1.292447,1277.205200,1621.921143,1798.422485,-0.026369,0.008985,0.145640,1265.793945,2218.404053,1258.303955
107,0,0.196014,-0.335664,-1.292632,1276.982178,1621.917847,1798.418701,-0.021990,0.008036,0.147825,1265.830322,2218.462158,1258.332642
108,0,0.196216,-0.335897,-1.292213,1276.676392,1621.927979,1798.403931,-0.027370,0.012070,0.143510,1265.711304,2218.433838,1258.385986
109,0,0.196305,-0.336054,-1.292228,1276.380127,1621.949707,1798.404419,-0.022226,0.012475,0.154561,1265.795654,2218.432617,1258.391846
110,0,0.198535,-0.334456,-1.294384,1276.311401,1622.352905,1798.826294,-0.025454,0.008639,0.142610,1265.764893,2218.407715,1258.289429
111,0,0.199042,-0.336018,-1.293484,1275.943970,1622.352539,1798.727661,-0.022241,0.010867,0.149754,1265.773193,2218.488037,1258.332153
112,0,0.200167,-0.335437,-1.294400,1275.668823,1622.463135,1798.943970,-0.026370,0.008672,0.139044,1265.734375,2218.414551,1258.287720
113,0,0.202040,-0.335968,-1.294818,1275.359985,1622.491577,1799.048218,-0.031802,0.007508,0.134205,1265.724365,2218.364502,1258.314697
114,0,0.201875,-0.336486,-1.294892,1275.026611,1622.478027,1799.000854,-0.028953,0.008555,0.139969,1265.753906,2218.380615,1258.309204
115,0,0.199724,-0.338083,-1.293470,1274.482422,1622.133423,1798.624023,-0.026340,0.009218,0.141095,1265.743164,2218.437500,1258.324707
116,0,0.199514,-0.338708,-1.292229,1274.053833,1622.340088,1798.528320,-0.024785,0.009461,0.145031,1265.769897,2218.472168,1258.316772
117,0,0.198731,-0.338651,-1.295359,1273.895142,1622.124634,1798.423706,-0.024763,0.010590,0.142778,1265.719360,2218.449951,1258.387817
118,0,0.201105,-0.343075,-1.290245,1273.496338,1622.465698,1798.578857,-0.028600,0.008931,0.138806,1265.735840,2218.385010,1258.327759
119,0,0.200656,-0.341508,-1.291830,1273.172852,1622.430298,1798.469849,-0.032999,0.008991,0.129683,1265.654785,2218.344971,1258.344482
120,0,0.199530,-0.341956,-1.294656,1272.979614,1622.261353,1798.307983,-0.028617,0.008803,0.134193,1265.694336,2218.423584,1258.317627
121,0,0.201020,-0.343357,-1.291816,1272.568604,1622.598755,1798.392822,-0.025239,0.009537,0.143705,1265.779419,2218.447754,1258.343140
122,0,0.200949,-0.343768,-1.292065,1272.291260,1622.648071,1798.344116,-0.027621,0.009724,0.134913,1265.678345,2218.424561,1258.359863
123,0,0.200966,-0.344627,-1.292201,1271.998413,1622.672363,1798.276123,-0.027077,0.009605,0.142571,1265.751831,2218.380371,1258.360229
124,0,0.199885,-0.343871,-1.295491,1271.893433,1622.441895,1798.143188,-0.024235,0.008059,0.150338,1265.853149,2218.375000,1258.286621
125,0,0.199848,-0.344067,-1.295759,1271.653809,1622.501343,1798.098389,-0.027594,0.006746,0.139841,1265.780151,2218.395752,1258.271851
126,0,0.199305,-0.342982,-1.296931,1271.417725,1622.529541,1797.981689,-0.021401,0.009765,0.145107,1265.737793,2218.485107,1258.333984
127,0,0.199704,-0.343977,-1.296729,1271.277100,1622.551392,1797.963867,-0.021682,0.010301,0.150207,1265.816284,2218.492676,1258.325806
128,0,0.200298,-0.343764,-1.296750,1270.982544,1622.706909,1798.142334,-0.025962,0.010057,0.145823,1265.797729,2218.407959,1258.340576
129,0,0.200960,-0.345048,-1.296007,1270.820557,1622.736450,1798.158447,-0.024172,0.008545,0.153793,1265.848633,2218.404541,1258.297974
130,0,0.200883,-0.344237,-1.296384,1270.585815,1622.781860,1798.143311,-0.021321,0.007329,0.161819,1265.968262,2218.409424,1258.234619
131,0,0.201565,-0.342849,-1.297913,1270.436035,1622.860962,1798.180542,-0.024843,0.011760,0.151054,1265.802124,2218.480469,1258.358276
132,0,0.201547,-0.343973,-1.297363,1270.242920,1622.840088,1798.077637,-0.022214,0.010478,0.150613,1265.799072,2218.509521,1258.384888
133,0,0.201859,-0.343889,-1.297469,1270.055298,1622.864624,1798.164551,-0.026325,0.009801,0.142876,1265.751831,2218.409180,1258.376099
134,0,0.202364,-0.345620,-1.296310,1269.914429,1622.930908,1798.252686,-0.026450,0.010394,0.146986,1265.786621,2218.416260,1258.341675
135,0,0.202597,-0.345108,-1.297197,1269.770142,1623.069458,1798.428711,-0.030429,0.011892,0.136811,1265.672607,2218.375244,1258.416992
136,0,0.202779,-0.345410,-1.297186,1269.663330,1623.127930,1798.469727,-0.027399,0.008429,0.138337,1265.736694,2218.422119,1258.343628
137,0,0.203976,-0.346572,-1.294242,1269.377441,1623.464844,1798.609497,-0.028681,0.009218,0.136439,1265.712158,2218.460205,1258.306152
138,0,0.204118,-0.346997,-1.293756,1269.269287,1623.482666,1798.672363,-0.028434,0.008031,0.140624,1265.806396,2218.419434,1258.318604
139,0,0.202543,-0.347438,-1.293857,1269.142334,1623.479614,1798.622559,-0.026340,0.008349,0.147448,1265.830200,2218.389893,1258.317383
140,0,0.202757,-0.347255,-1.293988,1269.045532,1623.528320,1798.687500,-0.026147,0.011251,0.144424,1265.746704,2218.425781,1258.386597
141,0,0.202639,-0.347513,-1.293993,1268.984375,1623.546143,1798.667236,-0.022771,0.008388,0.148071,1265.855347,2218.449707,1258.291260
142,0,0.202767,-0.347374,-1.294061,1268.885132,1623.597168,1798.684448,-0.026628,0.008291,0.136235,1265.719360,2218.413330,1258.322754
143,0,0.202531,-0.347103,-1.294274,1268.795288,1623.598633,1798.673584,-0.024101,0.010917,0.148443,1265.786743,2218.437500,1258.343628
144,0,0.202350,-0.347426,-1.294199,1268.730957,1623.604370,1798.637817,-0.026035,0.010543,0.144194,1265.773438,2218.432129,1258.405029
145,0,0.202658,-0.346719,-1.294534,1268.663452,1623.608765,1798.658813,-0.032333,0.008442,0.133060,1265.689331,2218.359619,1258.352417
146,0,0.200933,-0.345599,-1.297591,1268.743164,1623.336304,1798.447510,-0.027136,0.009719,0.137887,1265.706909,2218.436035,1258.372437
147,0,0.200841,-0.345318,-1.297786,1268.666992,1623.359985,1798.394287,-0.031109,0.008845,0.132994,1265.686768,2218.421387,1258.345825
148,0,0.201193,-0.345563,-1.297334,1268.640381,1623.345093,1798.417358,-0.025242,0.009556,0.145339,1265.769531,2218.410156,1258.351562
149,0,0.200766,-0.344576,-1.298320,1268.552734,1623.362549,1798.361450,-0.027599,0.010101,0.144125,1265.756836,2218.406738,1258.358643
150,0,0.200785,-0.344514,-1.298172,1268.458496,1623.403076,1798.316406,-0.027840,0.007159,0.137021,1265.782227,2218.416016,1258.314209
151,0,0.201056,-0.345160,-1.298070,1268.488159,1623.399902,1798.280273,-0.029529,0.009975,0.137000,1265.740601,2218.434570,1258.368286
152,0,0.200586,-0.344212,-1.298632,1268.318115,1623.476685,1798.226074,-0.028652,0.009928,0.138164,1265.747803,2218.442871,1258.372681
153,0,0.200431,-0.343472,-1.299248,1268.238037,1623.495117,1798.227905,-0.027061,0.008617,0.139361,1265.775513,2218.435059,1258.334717
154,0,0.200514,-0.343552,-1.299351,1268.175903,1623.548462,1798.203003,-0.028741,0.011712,0.137894,1265.704590,2218.422119,1258.446289
